FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,Label
668825.0,818481.0,50231.0,62035.0,2204,1916,106,212,1268620.0,972890.0,517535.0,382378.0,102.9,2,Nano1
193557.0,177850.0,27926.0,24760.0,1247,590,509,170,1053620.0,562431.0,470900.0,242999.0,105.0,2,Nano1
686693.0,820838.0,62017.0,81290.0,1341,1373,336,268,1376720.0,1077170.0,460084.0,380054.0,105.8,2,Nano1
715040.0,839019.0,734684.0,935771.0,4958,3674,4063,3730,543046.0,443461.0,240621.0,204514.0,106.0,2,Nano1
464385.0,589022.0,69058.0,102072.0,1493,931,171,150,705341.0,581096.0,219561.0,195863.0,106.3,2,Nano1
956745.0,1034570.0,943092.0,1173270.0,3209,2518,515,504,518888.0,418495.0,232493.0,186896.0,107.6,2,Nano1
1255000.0,1634300.0,59763.0,77360.0,4216,2733,0,194,493616.0,366162.0,181039.0,130066.0,108.9,2,Nano1
307849.0,431196.0,55782.0,86493.0,945,807,0,102,411457.0,336542.0,140317.0,119638.0,112.7,2,Nano1
462771.0,613806.0,35702.0,50229.0,1414,986,386,181,640281.0,512242.0,237228.0,202847.0,113.3,2,Nano1
517207.0,655188.0,54459.0,79760.0,1988,1427,400,206,964877.0,770822.0,276893.0,241961.0,113.3,2,Nano1
510497.0,639522.0,41223.0,59770.0,1532,1300,449,185,771041.0,615390.0,271573.0,225147.0,113.3,2,Nano1
278787.0,356788.0,18238.0,24612.0,393,238,450,187,422261.0,341091.0,99227.0,93790.0,116.8,2,Nano1
366739.0,487881.0,37903.0,56272.0,608,313,248,106,588649.0,482086.0,241525.0,183326.0,117.1,2,Nano1
458098.0,603139.0,44788.0,63456.0,1205,957,396,255,643962.0,506992.0,230926.0,179085.0,118.1,2,Nano1
496584.0,643067.0,93237.0,144253.0,1309,973,561,263,673361.0,545437.0,274444.0,232595.0,119.4,2,Nano1
505238.0,665198.0,92359.0,137356.0,1417,1112,633,332,740336.0,585254.0,320652.0,243095.0,119.5,2,Nano1
562088.0,739395.0,38812.0,54359.0,1849,1354,459,208,821162.0,628704.0,221105.0,178441.0,119.6,2,Nano1
350391.0,467233.0,62468.0,96771.0,1425,1290,705,319,468818.0,379802.0,176650.0,163348.0,120.4,2,Nano1
222573.0,213121.0,13289.0,13160.0,898,874,93,169,563028.0,363459.0,272940.0,182004.0,121.2,2,Nano1
483610.0,610988.0,56359.0,84197.0,1446,1523,55,121,700617.0,540296.0,270733.0,203543.0,121.3,2,Nano1
1787760.0,1298120.0,3207910.0,2900380.0,11152,5181,2726,1195,2036940.0,1254530.0,1454550.0,836993.0,121.8,2,Nano1
367116.0,517760.0,41909.0,67194.0,1143,937,65,122,587358.0,478356.0,199326.0,177332.0,122.5,2,Nano1
491402.0,629897.0,98174.0,140809.0,1766,1549,379,189,810258.0,653863.0,323656.0,271117.0,123.2,2,Nano1
456725.0,585140.0,89248.0,135966.0,1297,1327,319,167,714128.0,582447.0,267786.0,241364.0,123.7,2,Nano1
536431.0,641203.0,83750.0,118436.0,1830,1576,468,213,1050920.0,837865.0,433124.0,378506.0,126.2,2,Nano1
502614.0,636414.0,53966.0,78026.0,1552,1110,269,175,852561.0,648398.0,283042.0,228054.0,127.3,2,Nano1
