FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2
2768.0,16772.0,363.0,3420.0,352,1298,651,1950,1840.0,5287.0,2134.0,3748.0,142.6,0,-139024.04294213417,29579.80571554086
3862.0,9729.0,1182.0,5180.0,2217,3179,2755,4119,9223.0,13946.0,734.0,1424.0,142.6,0,-135611.42471528356,27635.457333929386
13710.0,16483.0,1956.0,2944.0,4134,4384,5152,5350,12445.0,12711.0,2155.0,2470.0,142.8,0,-129233.580516087,26086.73301694848
9262.0,22987.0,2557.0,4755.0,4255,4509,5357,5502,14574.0,14148.0,3102.0,3892.0,142.9,0,-128824.51502068334,24523.358101854745
28113.0,38155.0,5355.0,8218.0,7451,7282,8914,8721,22591.0,20570.0,5018.0,4467.0,142.9,0,-115454.18932214192,22200.121010099625
54709.0,75343.0,8805.0,12558.0,180,226,286,218,56349.0,50923.0,50825.0,44334.0,143.0,0,-61848.77300709454,-21100.39363169748
9596.0,17402.0,3170.0,5939.0,6545,6566,7763,8098,16122.0,16726.0,2961.0,3025.0,143.0,0,-127767.87941088348,24412.855465883225
89288.0,127201.0,24934.0,40370.0,270,175,184,82,91434.0,79994.0,79576.0,65731.0,143.0,0,-6496.609921356081,-44205.439467601536
4525.0,10043.0,1884.0,5122.0,737,1931,976,2096,2531.0,7451.0,807.0,928.0,143.1,0,-138072.7176196289,31521.11199997062
25519.0,36263.0,4916.0,8518.0,511,286,259,138,42087.0,40446.0,24053.0,32118.0,143.2,0,-95040.07686625836,-2350.834656429299
52095.0,67923.0,22136.0,34372.0,100,204,554,221,50364.0,45376.0,49349.0,33873.0,143.3,0,-59036.97345637546,-6500.439911687146
46186.0,69495.0,8253.0,12293.0,191,239,140,91,63374.0,56496.0,38512.0,39424.0,143.4,0,-68067.9128452885,-18293.24414146721
12363.0,26449.0,4318.0,8316.0,4502,4840,6144,6206,16275.0,16466.0,3735.0,5010.0,143.4,0,-125277.73564206128,24500.407458509697
24071.0,41560.0,4071.0,5481.0,453,176,343,125,31699.0,30747.0,25070.0,26342.0,143.4,0,-101482.6901876635,2689.999966578609
4969.0,17928.0,884.0,1893.0,4251,4854,5645,6333,14200.0,16013.0,1704.0,2729.0,143.4,0,-132458.3846895734,24286.690404537727
38554.0,56370.0,4797.0,9312.0,0,43,338,178,42075.0,37240.0,30671.0,32177.0,143.5,0,-87572.91541173181,-5191.965380487261
4394.0,12037.0,2152.0,5025.0,2619,3013,3706,3924,8372.0,8662.0,1281.0,2369.0,143.5,0,-134778.58698233546,28302.14216816561
94245.0,136116.0,12237.0,21009.0,375,269,275,168,111185.0,103263.0,31715.0,39707.0,143.6,0,-28510.74463485155,-33905.65005721741
51291.0,81699.0,4612.0,9374.0,303,197,207,114,67627.0,60872.0,43791.0,44626.0,143.7,0,-63569.79915551061,-26252.194406292725
4500.0,10978.0,2526.0,5181.0,4113,4768,5777,6944,14642.0,17198.0,1264.0,3371.0,143.7,0,-131409.43796127205,25277.3763346741
34480.0,50954.0,3644.0,6440.0,65,69,383,157,36815.0,35493.0,30043.0,30568.0,143.7,0,-92801.64835387174,-2942.000730343363
31561.0,45843.0,6092.0,7925.0,797,624,79,85,32809.0,29170.0,27402.0,22222.0,143.8,0,-96582.04709119766,3412.4122863571247
61553.0,95120.0,19191.0,28195.0,378,185,0,6,52313.0,47383.0,34712.0,39334.0,143.9,0,-61957.07037136129,-2733.5314139543007
5921.0,13721.0,2260.0,6345.0,2117,2303,3248,3470,11072.0,11899.0,2342.0,3529.0,144.0,0,-132256.37732562964,26362.65502057319
80684.0,139359.0,2688.0,4761.0,255,194,108,94,81505.0,73822.0,37524.0,38306.0,144.0,0,-51395.46603320688,-28942.96800302957
2311.0,14111.0,549.0,2257.0,1114,2899,1448,4026,4391.0,11592.0,1459.0,2560.0,144.1,0,-138357.09671116134,28970.344169376815
2847.0,18436.0,441.0,2200.0,1646,3446,2165,4704,5660.0,12863.0,252.0,1100.0,144.1,0,-138392.42885464363,29153.28179636096
338173.0,464920.0,21178.0,31542.0,571,494,0,57,313859.0,268580.0,187034.0,142949.0,144.1,0,243231.2843262855,-214170.25094216937
247393.0,346503.0,44565.0,67333.0,1398,1073,5,56,90006.0,77195.0,57981.0,52719.0,144.2,0,52151.023255665175,-10169.418149313864
4773.0,17093.0,1795.0,4191.0,5224,6339,7148,8509,16562.0,18762.0,1235.0,3824.0,144.2,0,-130837.93642138487,23767.528830607727
25305.0,40961.0,3726.0,4558.0,0,116,46,54,31489.0,28280.0,23548.0,21340.0,144.2,0,-102828.7505430472,4265.686132102652
37674.0,58688.0,1622.0,5005.0,191,129,188,92,47630.0,45803.0,29053.0,38744.0,144.2,0,-87031.83989674735,-10526.50914087462
6198.0,19462.0,1970.0,4970.0,3355,3929,5159,5469,13982.0,14894.0,0.0,2472.0,144.2,0,-132155.27855521644,26090.031878688176
252606.0,378753.0,55753.0,84514.0,921,616,74,72,132637.0,113755.0,72670.0,66711.0,144.3,0,89867.78146202417,-33302.18797806981
