FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Predicted_Label,Cluster
40240.0,52528.0,2991.0,7483.0,330,160,0,16,43757.0,40310.0,30695.0,27990.0,24.1,PEuk1,4
2505.0,13281.0,870.0,3117.0,1265,2073,1675,2894,4275.0,7425.0,512.0,951.0,24.1,Syn,6
25748.0,35155.0,2921.0,4540.0,43,174,329,120,33584.0,32667.0,33076.0,30195.0,24.2,PEuk1,4
2936.0,9516.0,705.0,2197.0,4290,5459,5554,7127,15263.0,19345.0,1272.0,1857.0,24.2,Syn,6
1449.0,7981.0,168.0,1511.0,474,1908,608,2256,1714.0,6262.0,0.0,238.0,24.2,Syn,6
111344.0,180908.0,27351.0,41869.0,0,146,89,129,121495.0,106495.0,47692.0,49654.0,24.2,PEuk1,4
4388.0,9979.0,1556.0,2933.0,3059,3288,3604,3971,9138.0,9849.0,2160.0,2174.0,24.3,Syn,6
4118000.0,2604300.0,4834850.0,3714220.0,147844,108266,136552,103544,7313400.0,3221360.0,3420740.0,1329860.0,24.4,Crypto,1
23122.0,41209.0,6316.0,12692.0,364,248,250,119,24993.0,22960.0,15838.0,16160.0,24.4,PEuk1,4
4689.0,13963.0,954.0,3352.0,2165,2507,3542,4596,8758.0,11761.0,0.0,1994.0,24.5,Syn,6
8109.0,12613.0,1361.0,2467.0,1958,2221,2947,3381,7530.0,8719.0,259.0,1001.0,24.5,Syn,6
348999.0,199681.0,131551.0,33264.0,2093,370,1981,241,190459.0,157714.0,101226.0,70084.0,24.5,PEuk2,5
27078.0,51010.0,815.0,1495.0,414,255,35,2,36284.0,34173.0,10771.0,20755.0,24.5,PEuk1,4
48780.0,57774.0,18557.0,27541.0,328,153,80,95,36241.0,33144.0,18928.0,25251.0,24.5,PEuk1,4
2401.0,6423.0,743.0,1983.0,858,1341,717,1675,1846.0,3995.0,1836.0,1855.0,24.5,Syn,6
2854.0,10288.0,432.0,1757.0,1546,2336,2332,3487,6015.0,8857.0,918.0,1141.0,24.5,Syn,6
6445.0,8127.0,1235.0,2591.0,7732,8315,12280,13837,11190.0,12855.0,1757.0,2778.0,24.6,Syn,6
66070.0,103916.0,49265.0,78406.0,228,161,0,101,63269.0,60116.0,25555.0,42126.0,24.6,PEuk1,4
5318.0,16301.0,1840.0,4101.0,3158,4330,3216,4977,6857.0,9681.0,1460.0,2226.0,24.6,Syn,6
18678.0,38173.0,3518.0,7489.0,312,172,153,70,25506.0,25012.0,13650.0,21444.0,24.6,PEuk1,4
11694.0,22288.0,2361.0,3950.0,5232,5340,7578,7643,19060.0,18442.0,906.0,2827.0,24.6,Syn,6
4083.0,15071.0,2200.0,4315.0,2506,3311,2913,3963,6811.0,9231.0,1397.0,2952.0,24.6,Syn,6
5953.0,15633.0,2468.0,5516.0,1390,1339,3067,3468,10008.0,11225.0,0.0,550.0,24.6,Syn,6
11058.0,13270.0,3045.0,4501.0,8810,8336,9861,9549,24765.0,24194.0,2370.0,3150.0,24.6,Syn,6
23353.0,39127.0,6030.0,10421.0,180,99,256,107,28252.0,27400.0,9159.0,18788.0,24.6,PEuk1,4
47863.0,57133.0,16978.0,26663.0,1015,352,0,103,41397.0,41140.0,17130.0,29724.0,24.6,PEuk1,4
173101.0,244922.0,28091.0,43877.0,321,222,147,100,52002.0,49562.0,33462.0,42312.0,24.7,PEuk1,4
100258.0,157408.0,9813.0,15497.0,201,169,570,246,141221.0,117188.0,38792.0,35635.0,24.7,PEuk2,5
71766.0,110032.0,9926.0,16627.0,294,225,440,133,80713.0,72884.0,38751.0,52783.0,24.7,PEuk1,4
27439.0,37019.0,1194.0,2535.0,481,230,332,130,34950.0,32772.0,32057.0,24611.0,24.8,PEuk1,4
9795.0,12600.0,4167.0,5985.0,4816,4553,5992,6003,14895.0,15022.0,550.0,2620.0,24.8,Syn,6
2517.0,11703.0,1441.0,5268.0,1772,2981,2127,3790,5403.0,9323.0,456.0,1015.0,24.9,Syn,6
3693.0,12188.0,1222.0,3467.0,2056,2519,2818,3643,7761.0,9437.0,1872.0,2279.0,24.9,Syn,6
