FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,SOM_Cluster,Final_Cluster
17787.0,37416.0,4904.0,6853.0,4764,4954,6588.0,6400.0,18240.0,18191.0,5865.0,5064.0,6658.6,13,7
184643.0,262221.0,19273.0,30224.0,677,393,302.0,146.0,116024.0,101335.0,97576.0,85155.0,6658.6,0,2
11893.0,25084.0,1335.0,4061.0,2594,2845,4147.0,4537.0,9772.0,10829.0,1505.0,4079.0,6658.6,4,2
204283.0,311657.0,28359.0,41151.0,847,317,247.0,106.0,158746.0,126061.0,70062.0,54611.0,6658.8,3,2
6833.0,19407.0,1589.0,3546.0,2006,2121,3279.0,3587.0,8393.0,9525.0,0.0,797.0,6658.9,4,2
15481.0,25700.0,2192.0,4952.0,4702,4701,6213.0,6295.0,15820.0,15501.0,2132.0,2064.0,6658.9,13,7
34685.0,47301.0,4286.0,6206.0,10766,10100,13214.0,12965.0,32264.0,31487.0,3595.0,4479.0,6658.9,21,1
70261.0,118065.0,7571.0,13048.0,723,298,345.0,198.0,45478.0,41644.0,26665.0,30060.0,6659.0,22,1
94441.0,146986.0,4536.0,6858.0,361,289,335.0,283.0,57013.0,51868.0,44523.0,47199.0,6659.0,15,3
5231.0,16241.0,1529.0,4958.0,1887,2019,3234.0,3827.0,7804.0,9369.0,652.0,1514.0,6659.0,4,2
2336.0,9737.0,1859.0,4373.0,2266,2454,2757.0,3408.0,6200.0,7436.0,1763.0,2454.0,6659.0,11,6
