"FSC-A","FSC-H","SSC-A","SSC-H","FL1-A","FL1-H","FL2-A","FL2-H","FL3-A","FL3-H","FL4-A","FL4-H","Time"
9812,17089,964,3262,1411,1272,1814,1907,5027,5339,890,1005,2595.7
6205,12764,1323,3319,2367,2611,2737,3131,7435,8155,1676,2311,2595.8
14420,19125,1989,2853,2008,2116,3081,2957,6903,7042,2386,2622,2595.8
5475,8697,1622,4690,3280,3598,4614,4930,11727,11802,3148,2209,2595.9
11056,24192,4504,9660,2956,3483,3585,3994,11986,14245,1578,3724,2596
24455,51744,4063,7953,333,253,196,109,27645,29628,13927,22667,2596
5881,14518,1251,2414,1861,2263,2648,3311,7319,9142,340,984,2596.1
49587,73578,9470,18220,192,210,534,222,51224,53638,30244,43103,2596.1
5537,12083,1596,3423,3315,3831,4766,5333,11775,13453,890,2084,2596.1
15387,27051,3177,3940,4438,4465,6045,6473,14538,14353,5244,3844,2596.1
58220,93700,12664,21252,367,238,0,43,62848,63773,47611,47071,2596.1
18557,40493,5317,11133,273,159,32,10,29653,32555,11362,23406,2596.1
5340,13302,528,1684,1914,2492,2140,2984,5764,7593,865,952,2596.1
5447,12484,2253,4566,2548,3363,3580,4828,8393,11150,1663,3119,2596.1
37650,74463,15215,28059,191,150,20,138,46902,47768,24573,37862,2596.2
51474,84851,3609,4381,171,157,560,222,54560,56342,25970,45092,2596.2
23460,34543,3879,5492,4450,5461,7223,8735,16716,18760,3648,3739,2596.3
22347,33025,1460,2784,3526,3519,5171,5280,15371,15686,1837,5869,2596.3
16559,22049,8757,13668,6546,6892,7477,8018,19413,20239,3558,4304,2596.3
5566,16100,3838,5751,1761,1924,2418,2708,7472,8987,776,1447,2596.4
73929,122553,5819,10196,623,363,437,205,60943,62401,29608,56104,2596.4
65934,93034,6713,13020,432,168,115,80,56961,55285,46500,38897,2596.4
39076,69991,38897,58839,4354,4414,4845,4631,16187,16304,4728,2800,2596.4
11708,18693,3395,6847,2927,2849,4423,4899,12819,13742,2085,3207,2596.4
52989,90120,11164,18951,122,115,471,210,50258,49302,32194,34718,2596.4
9840,13019,1519,4386,1876,2096,2869,3082,7313,8263,1787,1698,2596.4
41066,74170,1280,2737,394,182,105,149,55087,57585,46685,50396,2596.5
15607,16545,1869,2977,2645,2532,2976,3339,7989,7534,2319,2682,2596.5
84092,132344,5221,9375,381,314,308,156,81960,79300,73381,70628,2596.5
123838,199268,19000,32878,494,220,251,132,105006,102870,99733,92404,2596.5
64625,113577,12802,21926,222,130,193,129,63829,66929,43386,59298,2596.6
49365,50445,7606,9539,5157,5529,6437,7175,19961,20460,4227,4710,2596.6
7767,26391,2696,6579,3822,4494,5456,6390,12307,14026,1996,3469,2596.6
31761,32359,1371,3447,1532,1885,4365,4487,12407,12837,5599,5058,2596.6
15413,27606,3742,8259,2603,3030,3908,4206,10189,11140,3397,3376,2596.7
5271,12999,1719,3770,2243,2468,3308,3799,7672,8401,1689,2531,2596.7
13416,31126,5331,10736,3935,4323,4706,5247,13753,13839,2137,2009,2596.7
8326,20605,1998,5483,3970,4556,4532,5228,11065,11911,811,1271,2596.7
16724,28754,3712,7463,3467,3847,5632,6152,13947,15731,2640,4023,2596.8
29491,55297,6378,13230,62,104,279,116,39175,41406,31779,32880,2596.8
6449,16312,1900,5159,1857,2310,2385,2981,5163,6373,328,628,2596.9
38418,49834,3244,6056,532,230,222,79,36334,38113,26334,25018,2596.9
3440,17253,0,0,158,36,133,1,7398,9450,4366,5682,2596.9
8182,14489,0,2610,0,53,143,67,4065,6079,18196,19912,2596.9
507166,597751,142212,230445,1691,1729,642,230,908551,767666,330999,310179,2596.9
98278,170485,3748,5385,195,90,4,121,79984,77278,62864,71152,2597
6582,10473,1613,2724,2056,2381,2961,3341,7897,8147,1853,2023,2597.1
