FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2,PC3
16274.0,26922.0,11464.0,17340.0,4369,4629,6204,6698,20635.0,20345.0,3219.0,5459.0,30.2,0,-97142.15458605108,13837.649129448508,4126.590724691125
23844.0,41461.0,4320.0,6144.0,47,133,0,37,29706.0,28273.0,24038.0,23233.0,30.3,0,-84670.38925201297,-10310.219509450526,2955.196690613572
24215.0,38625.0,12721.0,19994.0,1848,1628,4475,4591,12853.0,11577.0,6336.0,5496.0,30.5,0,-95283.73797342864,13623.239677726604,-7195.403819816434
379829.0,513006.0,880534.0,1332420.0,1117,958,0,88,167176.0,148898.0,72814.0,68323.0,30.6,0,744442.3509637967,448407.8443179874,-131832.39607551805
24204.0,50656.0,10230.0,18101.0,56,40,133,108,29362.0,29334.0,10958.0,17958.0,30.7,0,-86548.87060354499,2837.4316326381613,5211.566135399095
17553.0,26217.0,2720.0,5545.0,107,107,106,97,14428.0,14036.0,8762.0,13687.0,30.9,0,-102224.01539831684,5005.222469418599,-2049.6112552885656
5856.0,25557.0,5348.0,13383.0,1118,1411,3111,4253,7706.0,10802.0,709.0,1139.0,30.9,0,-112630.8165237135,17287.128502558207,749.9832853283849
22496.0,30765.0,4586.0,9121.0,23,58,362,121,25969.0,24247.0,22598.0,19017.0,31.0,0,-87706.53327306297,-7415.821189072794,998.2192811225656
7568.0,14386.0,3867.0,6014.0,3961,3985,5225,5304,15450.0,15437.0,2969.0,3741.0,31.5,0,-108362.9678446844,11970.230002904602,5322.935816148766
8559.0,17703.0,157.0,2765.0,2168,2486,3234,3470,10331.0,11081.0,1287.0,1703.0,31.6,0,-113695.52528613024,12125.186813277913,1275.088333109337
61105.0,84505.0,4444.0,8037.0,3204,3177,9763,9766,29768.0,28708.0,12099.0,9832.0,31.6,0,-76249.85604531172,-7115.572396930209,-16105.298536444132
6639.0,17999.0,1987.0,4708.0,3028,3318,4545,4982,11645.0,12314.0,837.0,1459.0,31.7,0,-112819.04109833676,13603.671806244784,3403.77835625056
5881.0,14742.0,6452.0,14006.0,3727,4621,5200,6164,17631.0,20070.0,2008.0,3423.0,31.7,0,-106725.35098025546,14044.154426250509,8137.311408937145
21657.0,19708.0,3233.0,4419.0,6006,5484,8919,8532,26619.0,24701.0,6125.0,4795.0,31.8,0,-96962.0209781873,3841.352541966544,5219.262181485928
17230.0,35314.0,2955.0,5667.0,640,407,0,0,22986.0,22463.0,8764.0,19075.0,31.9,-1,-97854.3616820172,2120.47331685051,4993.415916942271
50197.0,86095.0,4838.0,9253.0,15831,16953,10477,10673,37626.0,31519.0,13264.0,12153.0,31.9,0,-76006.62108675581,-8569.005470704215,-4327.882180828447
18356.0,28787.0,5032.0,10240.0,234,272,51,42,25590.0,23733.0,8638.0,16364.0,32.2,0,-95203.07488502256,3036.8665442409183,6267.165091211898
46156.0,59337.0,4023.0,4337.0,930,278,0,7,32566.0,31395.0,23886.0,20402.0,32.4,0,-75226.47140850736,-14555.695819298246,-7644.334634257841
226446.0,317075.0,28381.0,44865.0,647,507,144,87,168898.0,148457.0,66236.0,64250.0,32.7,0,94101.22178411108,-98884.19868153273,-13474.472608602997
3313.0,12684.0,841.0,2417.0,747,1451,670,1853,2655.0,6955.0,2570.0,2237.0,32.7,0,-118060.54388959488,14765.226546573633,-1976.7345103927605
2174.0,13177.0,554.0,3525.0,551,1265,504,1598,1526.0,5024.0,0.0,0.0,32.7,0,-120502.93949782822,17015.205670781932,-1654.4033998303676
4603.0,15858.0,4267.0,8548.0,200,160,210,168,5440.0,4259.0,0.0,264.0,32.8,0,-115256.66663307772,17998.814839582097,-78.0133182571692
2642.0,15753.0,3378.0,22081.0,158,134,119,68,2259.0,4889.0,18424.0,33757.0,32.8,0,-106726.25988209406,2676.0666097928624,-4732.256193610922
1122150.0,945188.0,1465760.0,1412180.0,8051,4021,1718,989,328615.0,280193.0,146776.0,132732.0,32.8,3,1547829.249606816,621386.6472549189,-465024.36519356136
29652.0,38285.0,6722.0,7533.0,6808,6170,8395,7881,24442.0,22739.0,5535.0,5659.0,32.9,0,-92498.2866888504,5775.855688832464,-1030.2963107829137
13091.0,23599.0,8637.0,15370.0,218,102,330,183,18879.0,18975.0,9424.0,17645.0,33.0,0,-97244.44850898646,7575.100605691479,3758.2813816353273
6851.0,11962.0,1859.0,5909.0,255,173,302,160,1739.0,4033.0,408.0,328.0,33.0,0,-117469.59890526284,16775.151854669937,-4282.052139096936
2290.0,9034.0,1392.0,4136.0,2223,3337,3097,4730,7894.0,12279.0,275.0,1505.0,33.0,0,-116807.15569455797,15357.006555540393,3146.2339086173424
7959.0,21857.0,1740.0,4846.0,2588,2603,3798,4315,11736.0,12231.0,1359.0,1589.0,33.0,0,-112207.13792065914,12852.892031537936,2628.745019305596
