FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Predicted_Label,Cluster
49250.0,70160.0,7892.0,11326.0,3639.0,3538.0,488,380,55532.0,49272.0,39444.0,35289.0,21.0,PEuk1,4
23804.0,30706.0,4792.0,10274.0,0.0,53.0,0,143,33472.0,29515.0,33713.0,26358.0,21.0,PEuk1,4
7024.0,19306.0,2652.0,5845.0,3294.0,3902.0,4678,6085,11261.0,14208.0,2763.0,2774.0,21.0,Syn,6
10636.0,15947.0,3359.0,5677.0,3404.0,3735.0,4549,4904,13464.0,14480.0,2196.0,3216.0,21.0,Syn,6
9962.0,20737.0,2229.0,3840.0,463.0,297.0,106,34,23473.0,23872.0,12221.0,17150.0,21.0,PEuk1,4
492589.0,658713.0,533753.0,773241.0,10316.0,8560.0,7675,6866,52109.0,46154.0,36927.0,27837.0,21.0,Syn,6
5354.0,12450.0,3668.0,7487.0,1824.0,1870.0,2568,2690,9964.0,10090.0,2111.0,2611.0,21.0,Syn,6
5080.0,12070.0,1090.0,2879.0,3092.0,3347.0,3728,4368,8785.0,10476.0,1651.0,1992.0,21.1,Syn,6
8042.0,13620.0,2277.0,4023.0,1917.0,2096.0,4666,5125,12782.0,14536.0,2233.0,4887.0,21.1,Syn,6
271195.0,391372.0,42996.0,60714.0,660.0,669.0,319,228,134593.0,115425.0,79458.0,68142.0,21.1,PEuk2,5
1883.0,11169.0,307.0,1818.0,1398.0,2479.0,1930,3494,5269.0,9637.0,811.0,1349.0,21.2,Syn,6
7837.0,10768.0,1972.0,2530.0,2410.0,2239.0,3427,3302,9470.0,8917.0,3824.0,3325.0,21.2,Syn,6
5573.0,13727.0,1919.0,4240.0,2939.0,3755.0,3999,5011,11284.0,14341.0,1448.0,3338.0,21.2,Syn,6
6565.0,26196.0,4291.0,9830.0,1772.0,2184.0,2528,3002,7327.0,8911.0,1460.0,2080.0,21.2,Syn,6
14856.0,30132.0,4078.0,7378.0,3481.0,3368.0,4874,5177,14621.0,15130.0,3859.0,4385.0,21.2,Syn,6
3234.0,8015.0,4030.0,17235.0,1748.0,2116.0,2749,3140,7987.0,8827.0,497.0,856.0,21.3,Syn,6
31441.0,49140.0,12561.0,19028.0,1238.0,1096.0,292,158,40314.0,39775.0,33144.0,30019.0,21.3,PEuk1,4
74425.0,127316.0,6323.0,10755.0,345.0,214.0,275,114,68598.0,62431.0,45685.0,46451.0,21.3,PEuk1,4
5620.0,14474.0,1611.0,3382.0,2649.0,4675.0,3509,6512,9536.0,15105.0,3140.0,3361.0,21.3,Syn,6
1891.0,11488.0,0.0,0.0,958.0,3371.0,1495,4886,3673.0,11308.0,396.0,889.0,21.3,Syn,6
7717.0,15468.0,2779.0,5225.0,1202.0,1221.0,1789,1733,5179.0,5427.0,854.0,680.0,21.5,Syn,6
9479.0,17159.0,2119.0,4294.0,2222.0,2434.0,3356,3481,9038.0,8999.0,3140.0,2781.0,21.5,Syn,6
635517.0,748805.0,229238.0,331732.0,847.0,736.0,330,163,101723.0,88732.0,19760.0,17972.0,21.5,PEuk1,4
17262.0,14597.0,3017.0,3253.0,3704.0,3922.0,5840,5608,13504.0,13569.0,2715.0,2969.0,21.5,Syn,6
51397.0,72928.0,2552.0,4569.0,807.0,953.0,77,148,54946.0,51774.0,31876.0,37905.0,21.6,PEuk1,4
60498.0,98493.0,2947.0,4104.0,269.0,288.0,0,76,74224.0,66048.0,75902.0,60270.0,21.7,PEuk1,4
1442.0,8429.0,0.0,304.0,133.0,0.0,179,107,2879.0,6713.0,20103.0,40331.0,21.9,PEuk1,4
414731.0,556918.0,77564.0,116648.0,1769.0,1546.0,487,375,568728.0,469476.0,207756.0,186039.0,21.9,Nano1,2
9625.0,19510.0,2028.0,4546.0,1797.0,2179.0,3848,4240,10109.0,11061.0,3790.0,5173.0,21.9,Syn,6
3806.0,12643.0,1167.0,4850.0,1647.0,2338.0,2705,4109,8816.0,13504.0,494.0,1773.0,21.9,Syn,6
10549.0,23961.0,2729.0,5357.0,4843.0,4927.0,6392,6449,16059.0,16252.0,1506.0,2170.0,21.9,Syn,6
21131.0,21239.0,4816.0,6914.0,503.0,251.0,174,103,30184.0,26106.0,20465.0,18132.0,22.0,PEuk1,4
6043.0,18423.0,2210.0,6432.0,3265.0,3428.0,3888,4470,12019.0,13918.0,1248.0,3877.0,22.1,Syn,6
1831.0,11610.0,0.0,1338.0,203.0,121.0,136,22,1515.0,4999.0,4702.0,15187.0,22.1,PEuk1,4
54339.0,78842.0,1395.0,3868.0,478.0,209.0,178,150,43403.0,41114.0,25599.0,32984.0,22.1,PEuk1,4
6519.0,11531.0,3033.0,5783.0,2718.0,2679.0,3283,3531,9061.0,9230.0,2655.0,2746.0,22.1,Syn,6
3648.0,12557.0,576.0,3884.0,1975.0,2791.0,3035,4272,6276.0,8991.0,27.0,326.0,22.1,Syn,6
7520.0,12036.0,2353.0,4304.0,3977.0,3865.0,5717,5786,14981.0,14549.0,2847.0,3475.0,22.1,Syn,6
