FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2,PC3
2921.0,13952.0,298.0,1949.0,1588,2384,2718,4051,8591.0,12283.0,424.0,1692.0,31.1,1,-0.5992027111074718,-0.3625679713049875,0.0078541990070709
2897.0,9276.0,624.0,2255.0,1568,2949,1810,3966,4503.0,10710.0,0.0,231.0,31.2,1,-0.6139498390490951,-0.3644515287048695,0.0255285390835908
1373.0,7612.0,480.0,2112.0,1100,1781,1577,2670,4540.0,7820.0,0.0,6.0,31.7,1,-0.6533661187207428,-0.661491747082713,0.0368810466756896
3314.0,13088.0,1014.0,4511.0,2486,4057,2983,4876,7844.0,12540.0,0.0,691.0,31.8,1,-0.5504470193907594,0.0097748183318333,0.0180713913738471
7095.0,19227.0,2106.0,5354.0,8590,10756,12702,15087,19294.0,23261.0,1944.0,2534.0,32.0,-1,-0.1656127396923182,2.860339116398466,-0.1218329809975987
3796.0,12195.0,1967.0,3942.0,4882,7052,5973,8617,15297.0,22023.0,2196.0,3548.0,32.1,1,-0.3898075411400387,1.093648250676848,-0.0390463159931872
3568.0,8161.0,0.0,1315.0,1311,4684,1658,5494,4229.0,13457.0,827.0,1709.0,32.1,1,-0.5992166061763039,-0.0900425884917186,-0.003906719105075
6629.0,11864.0,3294.0,7075.0,5126,5367,5647,6339,17863.0,19430.0,1228.0,1959.0,32.4,1,-0.4033228118898561,0.7359702247077176,0.0075313682968715
8667.0,17986.0,2784.0,6373.0,4240,4324,5673,6231,17058.0,18753.0,3317.0,3905.0,32.6,1,-0.4306237144987748,0.509278986905773,-0.0107800956462945
5698.0,12880.0,3656.0,7746.0,2579,2518,3640,3791,12201.0,12242.0,998.0,1611.0,32.9,1,-0.5495677982920351,-0.1955022249863243,0.0254062306997076
5946.0,19496.0,1876.0,5515.0,1049,1652,1753,2846,5120.0,8280.0,1289.0,1940.0,33.0,1,-0.6251991668618518,-0.6606213801620758,0.0378125384110587
1370.0,5778.0,1919.0,5064.0,1239,2259,2048,4108,7314.0,12994.0,1689.0,3009.0,33.0,1,-0.6224569590704233,-0.4560454264380109,0.002982063843495
6521.0,9262.0,657.0,1994.0,584,1656,1139,2585,2555.0,7024.0,89.0,296.0,33.0,1,-0.6697511431031208,-0.7688663610934839,0.0378965671983615
4635.0,16097.0,1088.0,3342.0,3044,3188,4565,5219,10554.0,11685.0,661.0,2138.0,33.0,1,-0.5213962051360415,0.1007382415531322,0.0023268606230155
13420.0,15473.0,1119.0,3257.0,4127,3791,5866,5943,12694.0,12664.0,3527.0,2887.0,33.8,1,-0.4545902350925715,0.4292806857581871,-0.002990959578026
3032.0,10932.0,779.0,2005.0,1517,3979,2073,5181,5599.0,12983.0,2307.0,3189.0,33.9,1,-0.587909348573566,-0.1456605329653852,-0.0033990548299948
4377.0,23973.0,0.0,1837.0,1703,3341,2257,4566,7431.0,14288.0,939.0,1635.0,34.5,1,-0.5695887771956838,-0.2339585148306717,0.0134851099490909
179299.0,251789.0,11693.0,19915.0,130,164,229,145,237582.0,214775.0,79429.0,101449.0,34.6,-1,0.5881484617391048,-1.412350505343176,-0.3522218071250058
53629.0,67221.0,4181.0,7053.0,70,140,733,209,48685.0,44896.0,47620.0,37666.0,34.7,0,-0.359331275332475,-1.252067058032712,-0.0624804936642613
6112.0,16414.0,5117.0,10184.0,139,97,0,0,20581.0,24477.0,10467.0,18224.0,34.8,-1,-0.6043312575073728,-1.282559693768668,0.0133897241631622
