FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2,PC3,PC4,PC5
18435.0,34597.0,10484.0,19188.0,469,213,184.0,150.0,22201.0,24486.0,20131.0,23302.0,22.1,0,-0.6057611770480557,-0.5947658638967913,-0.2983288975225764,-0.366006606916038,-0.0520707390760319
13359.0,34810.0,6315.0,12711.0,165,70,222.0,192.0,14106.0,15877.0,3920.0,5319.0,22.1,0,-0.6855140224135182,-0.6181152358540983,-0.2939155977459179,-0.4306167392297732,-0.0474123489446522
38961.0,68408.0,5151.0,10305.0,261,286,71.0,91.0,28227.0,30758.0,14821.0,27684.0,22.2,0,-0.5584806409595022,-0.6148784173417947,-0.2986145943198863,-0.382076852087475,-0.1086834354876112
5822.0,17429.0,1362.0,3644.0,2053,2130,2825.0,3173.0,8428.0,10035.0,2839.0,2970.0,22.5,1,-0.5412451048462763,-0.0741013272344567,-0.0411946613504707,-0.0377531098885754,0.0435302847738434
4388.0,16999.0,758.0,1758.0,1517,2609,1608.0,3236.0,5138.0,9285.0,1474.0,1835.0,22.6,1,-0.5690672227037374,-0.0795954833959535,-0.0165469805102894,0.0069305340338802,0.0784045001645759
113873.0,202687.0,25895.0,43718.0,284,350,307.0,107.0,95666.0,98078.0,82138.0,83448.0,22.7,-1,-0.1093480399189326,-0.6887265729051479,-0.3917936563977299,-0.3935197313294168,-0.2977741098992639
7215.0,16853.0,2870.0,5516.0,1332,1744,2000.0,2554.0,6219.0,7464.0,1140.0,1633.0,22.9,1,-0.6041599395307334,-0.2088934377872359,-0.1023256386707634,-0.1373735043477813,0.038333736441231
1417.0,8062.0,0.0,1133.0,121,11,184.0,127.0,2118.0,4422.0,901.0,1384.0,22.9,0,-0.7590072568965532,-0.617948661516903,-0.3022759614287669,-0.4264243525017724,-0.016749739923077
1826.0,4008.0,1151.0,2659.0,28,0,29.0,2.0,5832.0,4860.0,1740.0,1601.0,22.9,0,-0.7654959855361813,-0.6336203815992978,-0.3103530260055712,-0.4289857961958265,-0.0070946689578916
2178.0,9290.0,248.0,1390.0,64,0,90.0,16.0,2870.0,3762.0,529.0,630.0,22.9,0,-0.7628114013004018,-0.6289643497724295,-0.3025245952540989,-0.4314696226821856,-0.0163204036021672
344013.0,545425.0,48623.0,74726.0,677,629,199.0,75.0,465457.0,441535.0,199604.0,217040.0,22.9,-1,1.2710369744197068,-0.901404929077894,-0.8064356103129862,-0.2546775784962717,-0.8046888179269065
800.0,5182.0,693.0,2586.0,1072,1800,1425.0,2557.0,4212.0,7852.0,263.0,702.0,23.1,1,-0.6408632826464592,-0.2302195719265568,-0.1150361567155417,-0.1328163255797157,0.0613031417965307
3947.0,12476.0,700.0,2012.0,2877,4107,3970.0,5713.0,11102.0,13931.0,1625.0,6737.0,23.1,1,-0.4224540795023287,0.3279727855142432,0.1455517815428092,0.2800006515041105,0.1312226555601569
27940.0,47021.0,7111.0,13360.0,35,43,0.0,76.0,32920.0,32529.0,33061.0,33510.0,23.2,0,-0.5831611232679204,-0.6634752776087431,-0.3697947475747229,-0.4130922834674096,-0.0753837963178493
3884.0,9021.0,1544.0,4209.0,6138,7514,7125.0,8362.0,16193.0,18671.0,2418.0,3272.0,23.3,1,-0.114817536323822,1.1258964803580007,0.6177791609896315,0.9755662530762182,0.2557061159224437
16300.0,26068.0,2119.0,3143.0,4752,4840,5490.0,6220.0,18623.0,19204.0,3897.0,5826.0,23.3,1,-0.2518770517473749,0.5935367745403579,0.3205548490036012,0.5066968527312308,0.1154275411032742
2366.0,4438.0,5.0,873.0,294,495,499.0,1036.0,1837.0,3898.0,2491.0,2585.0,23.3,1,-0.7327576772154214,-0.511607906869745,-0.2628812575850744,-0.3549945811006433,0.0078941451017535
6235.0,8541.0,0.0,1006.0,1474,2456,2268.0,3863.0,6904.0,11112.0,0.0,490.0,23.3,1,-0.5821078646007666,-0.0638918037813976,-0.0522956661082283,-0.0341612902930531,0.0784047030171725
45664.0,81807.0,11227.0,18259.0,266,152,257.0,128.0,62416.0,65237.0,42523.0,44330.0,23.4,0,-0.4430440366205929,-0.6506281449615277,-0.3837047362690689,-0.381241201980224,-0.1253318077197784
690200.0,800213.0,170352.0,225569.0,6715,6532,107932.0,97050.0,659144.0,555552.0,436458.0,375334.0,23.4,-1,3.506862720496687,5.614210201953394,-2.3942464687736624,-2.0532085260090445,-1.1644844900677511
21408.0,41229.0,1428.0,3228.0,98,128,163.0,47.0,24920.0,29391.0,8026.0,14444.0,23.5,0,-0.6458691413381014,-0.6301489400890973,-0.3223284955608809,-0.408574207688149,-0.0670493794797053
47942.0,88438.0,13969.0,22694.0,10,99,469.0,170.0,70472.0,66432.0,22498.0,29229.0,23.5,0,-0.4787655449764253,-0.6629747808089345,-0.3748579138696175,-0.4354074510262555,-0.1218425293395693
23967.0,21248.0,15088.0,18936.0,31197,35492,36284.0,40044.0,27718.0,29572.0,9997.0,9494.0,23.7,-1,2.4117861594334795,7.929883540077567,4.243191326182688,6.320120934911024,1.2018429484467308
13668.0,26846.0,2262.0,4254.0,3232,3613,4908.0,5898.0,12766.0,14919.0,1505.0,2047.0,23.7,1,-0.3953919734616308,0.3185421006376451,0.1260112845780796,0.2035030961274259,0.0807947723192364
276829.0,409678.0,55954.0,81666.0,551,517,119.0,73.0,303591.0,282302.0,138406.0,145828.0,24.2,-1,0.6859222741168665,-0.8089552561769728,-0.5589112636328867,-0.3519244651662856,-0.5992162378759793
11873.0,17860.0,1023.0,3066.0,6409,7635,8478.0,9546.0,21005.0,23165.0,2818.0,3613.0,24.4,1,-0.0672105434858085,1.2249491337782044,0.6174685702384033,0.9745492896391468,0.2395278309491776
771.0,4521.0,1.0,1389.0,167,87,140.0,62.0,3447.0,5424.0,281.0,640.0,24.5,0,-0.7584186701217258,-0.6078696288285159,-0.2926185690624677,-0.4074005202139277,-0.0081712808099271
305895.0,459122.0,20787.0,26378.0,741,814,458.0,175.0,465023.0,425642.0,138418.0,156866.0,24.5,-1,0.9857144709578012,-0.8045734270353265,-0.7416733455947017,-0.2025245981279267,-0.6625427445047155
7618.0,11840.0,1167.0,2018.0,4423,12938,5759.0,16180.0,9103.0,27992.0,361.0,641.0,24.7,-1,-0.0366720888084883,1.8704987217206104,0.9385659893923708,1.5488685831647857,0.5502478924237841
3271.0,14172.0,827.0,3151.0,2778,3551,4033.0,5381.0,10489.0,14346.0,860.0,1109.0,25.1,1,-0.4526794113586825,0.2467347535667658,0.0989093350334792,0.1866998549303724,0.107087659342207
22791.0,42534.0,1999.0,3664.0,373,210,80.0,27.0,31786.0,33572.0,10879.0,23257.0,25.2,0,-0.6015975240550278,-0.6094645619884517,-0.314004753698492,-0.3636834645247495,-0.0733464699547466
3612.0,8746.0,2066.0,3525.0,3110,3337,4612.0,5150.0,13266.0,14948.0,1173.0,3293.0,25.2,1,-0.4380190116888008,0.2506288625734969,0.0905385182827988,0.1817946425799221,0.0958468309459137
1053.0,4842.0,6.0,1309.0,847,1808,1151.0,2463.0,3241.0,7523.0,39.0,0.0,25.5,1,-0.657832043692784,-0.2537927436127305,-0.1243966234435114,-0.1444537268145177,0.0656092823933405
5339.0,10619.0,3026.0,6211.0,113,95,200.0,76.0,24862.0,32018.0,15087.0,10736.0,25.6,0,-0.6869845351951619,-0.6245311418886822,-0.3433879710520386,-0.3938358911140481,-0.0153875198048723
1082010.0,857651.0,1631510.0,1768650.0,6283,3577,1836.0,828.0,3642320.0,2268770.0,3106600.0,1656110.0,25.6,-1,11.211895714812854,-2.2337768219808587,-5.3818359631351935,2.054806657405388,1.2488344639887143
24322.0,30867.0,4528.0,6419.0,6216,6868,7565.0,8407.0,22254.0,24660.0,8656.0,7168.0,26.0,1,-0.0701053220473396,1.0541554419858474,0.5575734905957109,0.8667389046992521,0.1829787457034883
47219.0,74929.0,9930.0,17219.0,136,146,98.0,19.0,40657.0,40522.0,24257.0,33815.0,26.1,0,-0.521981458045318,-0.652163423152231,-0.3378485478833749,-0.4098278580420655,-0.1198306671378443
8469.0,11583.0,1663.0,4017.0,2257,2337,3317.0,3263.0,10110.0,10969.0,1804.0,2237.0,26.2,1,-0.5261253780696469,-0.0190506890766717,-0.0162104537154988,0.0043964613142047,0.0557135608961839
3568.0,11153.0,422.0,1828.0,192,184,134.0,49.0,3450.0,5480.0,1234.0,1435.0,26.3,0,-0.7427833081664595,-0.5970040945978081,-0.2790364339039966,-0.3943669317800369,-0.013055472746695
6924.0,24072.0,0.0,755.0,243,221,42.0,0.0,5092.0,7610.0,41291.0,80619.0,26.3,-1,-0.5714000474562683,-0.6298532606417939,-0.3964958303760698,-0.3231126846306703,-0.0817685429943431
647578.0,748605.0,165698.0,227635.0,9549,7435,902.0,711.0,1012360.0,782848.0,412619.0,336478.0,26.3,-1,3.4533401589251853,0.2721598751159434,-0.1501202058201431,1.5743074084354864,-0.7257503782690838
54989.0,89350.0,6749.0,8403.0,0,0,144.0,73.0,44285.0,42973.0,19468.0,31406.0,26.3,0,-0.5201930982465599,-0.6784423253219932,-0.3559220065597124,-0.4508700637641235,-0.1498128099367174
5638.0,12341.0,921.0,2899.0,3983,5286,4416.0,6031.0,9672.0,13497.0,218.0,1480.0,26.7,1,-0.3290625488128925,0.5703575121684972,0.3323102968299013,0.5322644805796166,0.174863609282465
3799.0,9421.0,1462.0,3417.0,2235,2632,3017.0,3382.0,9403.0,10580.0,1038.0,1367.0,26.9,1,-0.5274261294217398,0.0129728040804125,0.0117008789014077,0.0509079854518167,0.0775891271355168
8900.0,19331.0,1553.0,3832.0,2827,3041,4230.0,4551.0,12262.0,12414.0,2607.0,2461.0,27.1,1,-0.4541706347923129,0.1654118349626076,0.0638851564085665,0.1203465614020421,0.0726686562923099
2889.0,8505.0,933.0,2787.0,1345,1361,2186.0,2513.0,7762.0,8952.0,282.0,1216.0,27.5,1,-0.6270250565254929,-0.2488880961483126,-0.1469971855032414,-0.1882708106239512,0.0292457186098362
447637.0,667627.0,20179.0,27506.0,1927,1590,20526.0,21116.0,170783.0,160899.0,129956.0,120579.0,27.7,-1,1.0307927022674055,0.552814614900068,-0.5038617300817342,-0.948362084121154,-1.0618533374452173
13723.0,28106.0,5056.0,11325.0,7973,8049,9491.0,9714.0,21955.0,21154.0,2295.0,2445.0,27.7,-1,0.0539787300380893,1.411064524326357,0.762146801599668,1.1348664616181614,0.2259245161802603
3558.0,15695.0,681.0,2138.0,3315,4297,4600.0,6089.0,12112.0,16057.0,1584.0,2319.0,27.7,1,-0.3894581581999427,0.4087663131202184,0.1868364981969303,0.3254610731435905,0.1327028154900691
3267.0,11582.0,1685.0,4915.0,2160,2467,3335.0,3728.0,8802.0,10148.0,1055.0,2276.0,27.8,1,-0.5317974474294962,0.0055373531773837,-0.0153446079484391,0.0080489032119026,0.0671458911141631
3487.0,15147.0,753.0,2869.0,3255,4656,4494.0,6596.0,15160.0,23080.0,2544.0,3597.0,27.9,1,-0.3709551081635575,0.4588724895249236,0.2026267374289143,0.3728154488768141,0.1505092601639292
3224.0,18053.0,0.0,297.0,1015,3370,1637.0,4942.0,4769.0,15981.0,36.0,331.0,27.9,1,-0.5697376422720395,0.030612134972213,-0.0017904967265239,0.0548242909127202,0.1210336357861803
5095.0,11448.0,1474.0,3595.0,3093,3462,3980.0,4626.0,10198.0,11305.0,1876.0,1616.0,28.1,1,-0.4415679684949088,0.2338368472872024,0.1219742521835956,0.21219238868679,0.1012027045173819
1071.0,6753.0,765.0,3621.0,1251,3148,1230.0,2917.0,3396.0,8651.0,513.0,1250.0,28.1,1,-0.5863035097169417,-0.0487140357888542,0.0222514172597965,0.0817881869835851,0.1252458821168405
7711.0,8131.0,3309.0,4856.0,1351,1201,3623.0,3454.0,9664.0,8444.0,4127.0,3606.0,28.1,1,-0.6146582142245394,-0.2059802530483034,-0.1918779323841481,-0.2474443701464649,0.0187645612780408
