FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,tSNE-1,tSNE-2
1344.0,8380.0,563.0,2937.0,2963.0,6531.0,3418,7545,7535.0,16041.0,0.0,45.0,23.3,0,16.092422,56.428368
7100.0,12077.0,1196.0,2287.0,9428.0,9762.0,9871,10255,20415.0,21205.0,3010.0,3048.0,23.4,0,34.40401,37.47668
14393.0,29289.0,3841.0,6539.0,40.0,175.0,0,0,11269.0,11150.0,2216.0,6706.0,23.4,-1,-27.989513,-40.927444
11792.0,24972.0,2022.0,3375.0,2476.0,2686.0,4015,4413,11161.0,12115.0,1302.0,2299.0,23.4,0,-8.828973,2.8058753
357466.0,456954.0,69484.0,103179.0,2878.0,2189.0,24729,22734,235289.0,204634.0,147410.0,135856.0,23.4,0,24.107708,12.097694
1596.0,8534.0,971.0,4005.0,2047.0,3578.0,2704,5101,6699.0,12622.0,913.0,1624.0,23.5,0,-34.51203,28.049412
2150.0,13527.0,339.0,4059.0,1070.0,2993.0,1502,4415,3589.0,10676.0,481.0,1062.0,23.5,0,-51.42866,19.405176
52374.0,90482.0,7249.0,12188.0,330.0,133.0,0,94,49774.0,47099.0,42792.0,42006.0,23.5,1,48.604652,-30.441664
619333.0,775235.0,470057.0,624890.0,1380.0,1103.0,201,274,264574.0,230667.0,131364.0,116658.0,23.6,1,77.6475,20.830334
12119.0,34068.0,2317.0,5504.0,7259.0,8113.0,8982,10371,27234.0,31183.0,3425.0,5934.0,23.6,0,34.77701,42.2638
10725.0,31451.0,4171.0,9121.0,4807.0,5582.0,6329,7106,16261.0,17634.0,1857.0,3801.0,23.6,0,6.6297455,71.34308
29783.0,47667.0,10889.0,19052.0,0.0,7.0,139,119,39407.0,38295.0,12502.0,23879.0,23.8,1,7.0469747,-28.633074
6605.0,17609.0,1697.0,3311.0,7442.0,7513.0,8830,9595,24204.0,26921.0,942.0,1941.0,23.9,0,34.545918,48.764183
7553.0,24485.0,1690.0,5354.0,6768.0,8163.0,8562,9859,20424.0,23160.0,2400.0,4496.0,24.0,0,34.065044,45.35389
2889.0,10327.0,746.0,2135.0,2449.0,3571.0,3176,4708,7285.0,10569.0,0.0,58.0,24.0,0,-27.88058,21.130587
5642.0,20463.0,882.0,1809.0,1472.0,2873.0,2233,3573,6685.0,11201.0,2471.0,2178.0,24.1,0,-52.210648,4.0388007
1065.0,6435.0,350.0,1732.0,671.0,2268.0,1025,2891,3112.0,9727.0,559.0,833.0,24.1,0,-75.6288,-1.473706
11383.0,16895.0,1656.0,3409.0,8487.0,9249.0,9384,10431,17687.0,20043.0,1456.0,1468.0,24.1,0,34.63381,39.5614
23751.0,42839.0,4262.0,7622.0,287.0,145.0,216,130,17431.0,16771.0,5995.0,11614.0,24.3,1,-26.188663,-33.42208
4262.0,11312.0,2307.0,4785.0,4701.0,5214.0,6185,7192,14075.0,15136.0,1315.0,2372.0,24.4,0,-1.3375727,79.34642
6992.0,17974.0,2859.0,7116.0,2078.0,2425.0,3002,3604,8131.0,9166.0,1509.0,1744.0,24.4,0,-35.95775,-3.2861438
48548.0,81676.0,5628.0,10517.0,439.0,245.0,0,0,40043.0,37224.0,22773.0,34812.0,24.4,-1,36.687016,-24.16437
219188.0,328264.0,44493.0,70049.0,716.0,329.0,0,55,306306.0,253704.0,111330.0,115670.0,24.4,1,66.880135,8.106513
2657.0,7153.0,602.0,3895.0,599.0,1393.0,875,2254,2438.0,6782.0,2242.0,2466.0,24.5,0,-76.74153,-18.525852
4933.0,10765.0,1095.0,2805.0,1937.0,2882.0,2432,3893,8117.0,12986.0,0.0,128.0,24.5,0,-43.870354,9.991325
1790.0,9787.0,370.0,2439.0,641.0,1573.0,857,2416,2711.0,7450.0,2189.0,4295.0,24.5,0,-75.91647,-16.588085
2968.0,7469.0,1507.0,3393.0,4366.0,5525.0,5541,7041,14303.0,17322.0,673.0,1334.0,24.5,0,-9.300597,74.20741
25539.0,41497.0,1749.0,3230.0,305.0,254.0,30,68,32788.0,30789.0,27560.0,25543.0,24.5,1,-1.2771984,-31.70654
1966.0,6820.0,2075.0,5680.0,204.0,195.0,264,221,12259.0,19952.0,9971.0,13226.0,24.6,1,-19.878813,-58.01824
1258.0,6837.0,853.0,4539.0,279.0,256.0,134,84,5172.0,8508.0,7028.0,11450.0,24.6,1,-17.60643,-68.945526
3677.0,9145.0,192.0,1328.0,125.0,110.0,237,112,4786.0,5828.0,11728.0,11708.0,24.6,1,-16.915588,-68.03316
1913430.0,1524610.0,2624050.0,2456970.0,8758.0,4800.0,2751,1288,4112460.0,2422670.0,2941420.0,1733690.0,24.6,1,77.731674,33.26449
11335.0,16257.0,2763.0,3881.0,1158.0,1069.0,1871,1904,5153.0,5431.0,0.0,1000.0,24.6,0,-64.937,-21.141424
22397.0,52239.0,1232.0,3710.0,240.0,135.0,105,44,31129.0,32140.0,6132.0,14128.0,24.7,1,-2.3448527,-20.185427
1359.0,7512.0,197.0,922.0,1094.0,1697.0,1257,2074,2745.0,4834.0,0.0,850.0,24.7,0,-69.895065,-20.136269
94593.0,135715.0,3489.0,7120.0,698.0,309.0,184,99,91814.0,79185.0,30473.0,36224.0,24.8,1,65.49589,-17.18984
60572.0,94303.0,6373.0,11569.0,494.0,367.0,213,156,67630.0,64820.0,54021.0,53464.0,24.9,1,59.56804,-35.3951
32891.0,54984.0,6320.0,10567.0,267.0,218.0,234,135,32127.0,32594.0,11180.0,24443.0,24.9,1,8.6587515,-23.462536
6199.0,10736.0,2090.0,4585.0,3532.0,3726.0,4698,4988,13219.0,14459.0,1757.0,3364.0,25.0,0,-3.7412336,26.406364
32418.0,53224.0,5678.0,10423.0,266.0,249.0,2,8,28345.0,27751.0,13395.0,22018.0,25.1,1,7.228198,-21.860525
