"FSC-A","FSC-H","SSC-A","SSC-H","FL1-A","FL1-H","FL2-A","FL2-H","FL3-A","FL3-H","FL4-A","FL4-H","Time"
40295,80244,3664,7614,294,236,171,96,43556,42538,22431,31668,5275.8
16197,24434,2054,2846,3372,3498,5319,5554,13882,14253,3774,4025,5275.8
40988,70308,8500,12956,83,52,364,200,38355,38085,27989,29167,5275.8
5028,10673,2046,3356,1540,1840,1852,2247,4854,5737,1722,1975,5275.9
1349,8627,525,2829,783,1852,752,2130,2123,6471,1774,3150,5275.9
3396,15456,820,3270,2784,3448,3491,4588,9809,12926,851,1907,5275.9
41308,72861,6905,9922,592,313,316,133,51109,48011,30727,35073,5276
41961,65031,13279,21244,337,284,0,116,54906,50622,55909,43628,5276
74060,107603,45813,66334,3780,4246,5347,5449,17555,17622,5123,4734,5276
6237,19818,1819,4204,1490,1840,3633,4363,9058,11083,2222,4621,5276
1029,4329,597,2748,145,121,204,144,4277,13459,16935,43728,5276
191052,279070,10812,16737,444,278,140,71,236629,198888,82380,93158,5276
51666,60046,13819,23525,231,165,449,273,52183,49140,47727,42575,5276.1
19519,34939,4035,4834,122,221,58,72,21866,21621,14187,19533,5276.1
3729,10750,1718,4177,2100,2498,3118,3748,8996,10610,989,2177,5276.1
6300,12499,3204,5216,1715,1978,1963,2490,6165,7293,1325,1180,5276.1
7175,14937,1984,3504,3844,4081,4856,5265,12164,13012,2809,2236,5276.2
11758,12794,2437,4674,4326,4588,6200,6917,16854,18535,2797,2244,5276.2
3033,8905,1692,3447,1848,2027,2442,2707,6548,7169,1337,1340,5276.2
42242,62696,6261,11972,269,141,0,30,39027,35572,36995,30222,5276.2
800,3072,214,1469,483,1055,693,1793,1374,4322,1083,1546,5276.3
4198,13043,0,0,7597,8191,10089,11064,5502,5604,529,738,5276.3
11209,21440,7207,12357,288,181,232,61,22920,22539,20927,20095,5276.3
41246,72151,39363,68748,2121,1874,4832,5087,13200,13183,4349,6115,5276.4
1974,12688,726,3076,1058,1808,1498,2753,3854,7073,521,1713,5276.4
1807,8946,1220,7528,82,0,159,95,2414,4919,8989,18482,5276.4
21537,45728,15018,28376,61,11,237,184,25129,24698,9399,17935,5276.4
9741,16049,2104,4723,9096,9873,6493,6579,5184,5311,2617,1867,5276.4
7308,13690,399,3046,3503,4019,3954,4255,9595,8845,1427,1960,5276.5
47199,61150,10343,17964,308,193,0,64,43467,39482,36670,29318,5276.5
72623,104514,3546,4867,382,279,0,70,54764,54237,32475,43791,5276.5
13070,19970,3299,5122,6782,6456,9059,9134,24171,24107,3706,4485,5276.5
18503,20833,4428,6029,3805,3512,4763,4807,13231,12611,3482,3714,5276.6
5720,12624,1761,3538,2854,3138,4115,4646,12140,13957,2563,3341,5276.6
4574,11194,3237,6778,2231,2204,2910,2892,8308,8352,2391,1419,5276.6
17173,29073,12432,20642,469,297,122,111,22739,21988,14310,14498,5276.6
55119,90456,3972,7429,0,118,17,33,36660,34133,30969,29971,5276.6
28551,45212,5836,7104,287,188,171,167,34704,34098,25797,30418,5276.6
177023,264474,40708,61442,158,156,0,58,158974,129603,71958,65420,5276.6
868,4111,691,2446,571,1346,662,1759,1662,4781,1290,1922,5276.7
1060,2491,0,1353,648,1670,936,2190,2632,6097,42,313,5276.7
37840,52976,3927,5462,22,140,0,83,36972,35429,40641,33147,5276.7
76826,104347,15272,22553,1015,512,210,166,68559,59384,59574,54395,5276.7
66853,105010,4176,5608,222,126,522,225,49293,43648,33664,32325,5276.8
59415,85198,10009,16087,453,298,280,105,53797,49073,40268,38140,5276.8
7512,21368,0,1338,2444,2526,3798,3993,11180,11514,2128,2626,5276.8
20565,31407,2010,4611,5055,5288,6447,6622,21704,21866,5214,5499,5276.9
2232,6034,1131,3090,4118,5028,5174,6326,12432,15025,355,1704,5276.9
34897,56516,14906,25541,548,242,136,70,44741,42152,26733,31232,5276.9
41961,78656,23789,38482,1875,1841,4701,4644,12393,11639,3896,5635,5276.9
8537,9081,2325,2575,2111,2126,2765,2751,7302,6301,1549,1464,5277
31860,46312,11986,18798,201,67,0,21,46771,44114,30757,33305,5277
23356,44240,7219,13639,623,344,29,41,22867,21746,18854,17189,5277
14925,39582,31102,60570,1559,1491,2761,2910,7447,7973,2208,1984,5277
7575,12608,1762,4070,2770,2990,4221,4432,10915,10159,1629,1411,5277
45550,70049,7097,11506,0,117,280,104,48867,44674,34680,33518,5277
30595,44070,4571,8207,2742,2498,5720,5711,14894,15063,5071,4633,5277.1
82634,123462,5800,8653,465,238,0,44,100864,89082,77115,64303,5277.1
11760,29451,2040,5058,4508,4494,5715,6253,16691,17051,2610,4052,5277.2
4354,14602,202,2765,89,104,316,179,2713,5820,12890,17587,5277.2
42809,62897,16878,25088,113,205,613,239,49955,43575,33479,32409,5277.2
333280,464422,19738,30626,813,583,128,136,345795,281762,138397,104028,5277.2
44559,61252,5235,7218,188,154,199,171,41242,37706,25994,25413,5277.3
220028,318082,28608,44560,318,378,43,121,258883,213245,87326,84758,5277.3
45051,41849,8611,7286,5906,5975,8048,8089,20431,19018,4933,3464,5277.4
7693,14408,635,2345,3346,3444,4438,4885,13044,14612,4521,3520,5277.4
20076,38284,4856,10208,5135,5332,7344,7695,18467,18929,2278,3851,5277.4
41620,61647,48889,71753,2836,2011,5666,5390,14533,11680,6638,4401,5277.4
11267,14089,0,1891,2926,2886,3712,3493,10451,9721,1381,1529,5277.4
50249,73405,24074,38609,197,115,484,220,62891,53836,59807,44614,5277.5
68278,98340,7537,11064,206,213,439,239,67938,61726,58595,50525,5277.5
2407,7040,1126,2755,3442,4522,4571,5892,11412,14443,1856,2830,5277.5
3633,12580,1148,3361,1742,1930,2203,2617,5891,7395,1100,2342,5277.5
33830,50535,7108,13018,509,291,191,133,51915,47458,28064,29430,5277.5
2574,10597,329,1955,846,1146,1359,2057,4010,6225,85,2095,5277.6
8547,17261,1388,3620,3455,3603,5418,5464,14459,14693,2893,4570,5277.6
6711,17833,2025,4414,3101,3399,4820,5252,10852,11771,1204,2778,5277.7
40878,72062,3506,6890,0,17,160,111,46969,44859,24193,35398,5277.8
5699,13928,2188,4696,2779,3376,3280,3732,9211,9453,1272,2804,5277.8
499048,704903,175833,261620,586,887,0,90,212848,187317,121770,92029,5277.8
3802,8535,789,1922,2108,3418,2525,4062,6477,10810,1827,2561,5277.8
