FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Predicted_Label,Max_Confidence,Label
1058.0,4502.0,209.0,964.0,671.0,1249.0,750.0,2036,1853.0,5541.0,0.0,84.0,22.2,Syn,0.73708851560804,Syn
3166.0,10261.0,1481.0,3821.0,4019.0,5123.0,4586.0,5959,11556.0,14475.0,2424.0,2798.0,22.2,Syn,0.820224885221353,Syn
4611.0,9673.0,1798.0,4947.0,4523.0,5002.0,5726.0,6819,13562.0,15972.0,722.0,1020.0,22.2,Syn,0.836323172526113,Syn
15003.0,26432.0,2403.0,3572.0,191.0,160.0,595.0,227,24080.0,24416.0,14729.0,17563.0,22.3,Syn,0.6510753604730874,Syn
35437.0,67738.0,4864.0,8466.0,551.0,305.0,144.0,151,45083.0,42046.0,24509.0,30849.0,22.3,Syn,0.5821862899171846,Syn
3618.0,8768.0,877.0,1607.0,980.0,1863.0,1147.0,2291,3059.0,4839.0,834.0,1169.0,22.3,Syn,0.7394354053760196,Syn
12977.0,15948.0,2264.0,4467.0,3617.0,3546.0,4701.0,5045,13405.0,14657.0,1527.0,2647.0,22.4,Syn,0.7947287828997883,Syn
6221.0,11425.0,2152.0,4003.0,2447.0,2685.0,3649.0,3956,11242.0,11745.0,2173.0,4529.0,22.5,Syn,0.7754224123139783,Syn
1915.0,8121.0,1604.0,3749.0,1815.0,2262.0,2620.0,3897,6783.0,9666.0,2041.0,2507.0,22.5,Syn,0.7777401710409152,Syn
1442.0,9304.0,401.0,2531.0,547.0,1773.0,680.0,2171,2384.0,7133.0,1476.0,2632.0,22.5,Syn,0.7351121366730005,Syn
1768.0,9136.0,1071.0,3536.0,3454.0,5721.0,4223.0,7067,9601.0,15135.0,506.0,1322.0,22.5,Syn,0.8417558665886354,Syn
12704.0,18277.0,2976.0,4168.0,4442.0,4913.0,5557.0,6209,15102.0,16637.0,2496.0,1958.0,22.5,Syn,0.8169285109394256,Syn
50727.0,94512.0,5475.0,8758.0,176.0,142.0,0.0,9,55770.0,52465.0,39193.0,39427.0,22.6,Syn,0.5315199686197277,Syn
2422.0,6869.0,690.0,3438.0,1451.0,1599.0,2240.0,2694,6845.0,9052.0,1055.0,1317.0,22.6,Syn,0.7503602656090547,Syn
48681.0,68746.0,67340.0,93418.0,8593.0,8231.0,10526.0,11199,32464.0,34049.0,7376.0,6676.0,22.6,Syn,0.8706365935510041,Syn
1438.0,9751.0,97.0,1041.0,94.0,0.0,149.0,29,1232.0,5435.0,12645.0,37227.0,22.7,Syn,0.6747004949991261,Syn
56640.0,96086.0,22030.0,36384.0,325.0,187.0,70.0,91,69041.0,68644.0,38106.0,52508.0,22.7,Syn,0.5319153108776883,Syn
24533.0,50798.0,2900.0,6125.0,125.0,56.0,108.0,111,36654.0,37016.0,26508.0,26350.0,22.7,Syn,0.6076319953150502,Syn
27516.0,33670.0,3175.0,5990.0,0.0,93.0,591.0,237,29288.0,28378.0,28352.0,19898.0,23.0,Syn,0.6399660582729334,Syn
2854.0,15593.0,659.0,2852.0,1682.0,3034.0,2315.0,4005,6450.0,12141.0,211.0,554.0,23.0,Syn,0.7720627224862233,Syn
1001.0,5575.0,118.0,607.0,127.0,123.0,143.0,89,3849.0,7283.0,1574.0,2730.0,23.0,Syn,0.6815440548005892,Syn
518.0,2608.0,609.0,3401.0,110.0,0.0,149.0,88,7347.0,12092.0,594.0,1515.0,23.0,Syn,0.684272170731069,Syn
197838.0,181836.0,25561.0,24496.0,1462.0,880.0,518.0,184,940113.0,574422.0,412099.0,299261.0,23.0,PEuk1,0.6848901377305824,PEuk1
11979.0,17255.0,3520.0,5031.0,3189.0,2726.0,4357.0,4670,14623.0,14103.0,3151.0,4476.0,23.0,Syn,0.7846357615691928,Syn
514.0,3209.0,851.0,3652.0,2249.0,5042.0,2837.0,6271,6555.0,14446.0,68.0,461.0,23.1,Syn,0.8322793599003214,Syn
1279.0,6352.0,1409.0,4957.0,1218.0,1914.0,1532.0,2529,3973.0,6488.0,737.0,1148.0,23.1,Syn,0.7483724933570218,Syn
2359.0,12648.0,791.0,3222.0,1679.0,2515.0,2506.0,4076,7424.0,12440.0,899.0,2438.0,23.2,Syn,0.7762858334361347,Syn
