PC1,PC2,PC3
-67247.72489538802,-27880.33122422031,-14599.56192300405
-108498.60353065489,-25843.1326543996,-16106.74647620746
-94454.16089604775,-20398.515876374287,-16502.736834684336
830439.1012558951,817922.4650613556,273918.06213366194
-118181.64837631948,-28920.81584449735,-24511.656097066356
-40387.54897434215,-38712.97222249722,-18331.392584269608
263421.6105462786,44918.0418451998,149450.2934962229
-46945.39631896028,-31446.6928256297,-13238.672028056168
-112671.64273417483,-26803.32234021357,-21431.91524142544
-114373.16065924746,-26562.1099227791,-18120.88294712708
-104494.66752539133,-31274.099858587433,-21980.048882295127
-113516.9892658959,-25438.941141739626,-20132.040877143118
-108418.9768473519,-26924.75352600395,-17627.798736988014
-55524.123631228606,-27438.478009666473,-6758.321311338008
224250.15024127846,-4570.099514335798,124926.1841202855
-109350.10796272127,-28483.668925735852,-22091.376961244507
-118976.50649157667,-28976.376285307488,-24817.080985873465
-122166.88275664722,-29141.650933262757,-23884.955711110706
-114445.20026489024,-25043.524881220474,-19579.814821363037
-30186.762357322834,-35244.67483543553,-9893.027351799827
-91857.71128105528,-28928.30515564244,-14993.850801454635
-113156.58659934056,-25561.963271078417,-21550.48404794616
-122781.39146154653,-29238.823708875818,-24261.28642693908
1398.0482169872557,-30917.91526275597,-3941.8935525164707
-120411.93354983881,-28031.46553842595,-23983.289648598184
-110656.39068945819,-25359.16963785599,-19834.003832475784
6347.113195613187,-31126.625770369123,9524.769586675822
-54424.8029038448,-15195.878858450786,-15402.538733199452
-20724.938771195026,-24100.50892409167,-16554.22128271254
30967.648178631134,58152.261231074095,67374.1143956409
-86972.62967247021,-2976.112790251631,7792.975308563931
-56704.99899815442,-30195.466437561467,-8521.824455458838
-105456.79316180856,-26161.093646447924,-15626.67971945869
-112872.58343109036,-24513.711093105652,-21199.06462649224
-114342.56987482167,-30052.365529122348,-23624.946996316365
-119557.66252724978,-27737.94204311413,-24214.49196610912
401043.49220626825,-8529.112065155834,149833.6055483965
-119941.77660406682,-29173.26877028373,-23340.450619923697
-121332.39460914594,-29131.239766162773,-24899.95602519231
-46744.54204618232,-21840.0233445215,-7719.745693571411
-119962.14263317159,-30806.772297186395,-26458.379820258335
1141358.4844935935,91501.92352379138,416309.97683552105
-122496.60442428711,-30349.40541442573,-26193.466703035792
-119882.74020297099,-31387.49532130254,-26484.09769886843
-110483.89220217022,-35733.91468091226,-32259.04408562136
-44642.01570703948,-65210.87291454897,-63221.40188496725
1965718.0761836488,-184301.74517574406,205696.7353860215
78614.27869801824,348808.309247987,52308.51751048072
