FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,Label
360719.0,508573.0,65316.0,100380.0,952.0,994.0,317,211,372991.0,315257.0,151696.0,143541.0,113.4,2,Nano1
1342920.0,1313490.0,974902.0,1166530.0,4320.0,2512.0,683,375,691851.0,516773.0,314743.0,204336.0,114.1,2,Nano1
634823.0,491789.0,205541.0,245830.0,3448.0,2422.0,1277,562,3247910.0,1760230.0,1475660.0,808367.0,115.2,2,Nano1
479249.0,653130.0,32084.0,47423.0,755.0,473.0,364,169,390867.0,314037.0,167370.0,153359.0,115.4,2,Nano1
880041.0,983316.0,103980.0,129647.0,3312.0,3235.0,873,402,1126140.0,836853.0,396691.0,316329.0,115.7,2,Nano1
608853.0,783302.0,91523.0,130861.0,1043.0,1078.0,392,253,505265.0,419138.0,262105.0,206435.0,117.7,2,Nano1
540123.0,516915.0,2355200.0,3275520.0,2784.0,2748.0,125,267,1194160.0,920974.0,489938.0,402044.0,124.4,2,Nano1
917911.0,766216.0,148747.0,184065.0,4372.0,2947.0,0,183,2666440.0,1664410.0,943022.0,588924.0,124.7,2,Nano1
473368.0,576504.0,50161.0,66920.0,832.0,583.0,0,157,373508.0,317023.0,188029.0,152958.0,124.9,2,Nano1
1262620.0,1095300.0,127340.0,143875.0,3292.0,1936.0,725,471,2478350.0,1400810.0,1141540.0,657830.0,125.2,2,Nano1
712159.0,911717.0,58755.0,90685.0,2799.0,1979.0,665,364,926807.0,726975.0,412576.0,308710.0,127.0,2,Nano1
588944.0,710127.0,118806.0,178564.0,1505.0,1179.0,0,107,878808.0,710930.0,256907.0,238002.0,129.2,2,Nano1
738962.0,762036.0,1807910.0,2521380.0,1582.0,1042.0,554,228,735039.0,576867.0,298783.0,258565.0,133.8,2,Nano1
621261.0,774276.0,56436.0,78659.0,2292.0,1492.0,147,85,763759.0,572658.0,289012.0,224904.0,134.4,2,Nano1
995256.0,964666.0,1667590.0,1773180.0,3711.0,2669.0,652,546,1774090.0,1365080.0,1116600.0,891751.0,134.4,2,Nano1
561164.0,634980.0,147311.0,221411.0,2471.0,1875.0,503,242,1010120.0,764616.0,1122610.0,701496.0,135.1,2,Nano1
648749.0,834681.0,38203.0,46127.0,1576.0,1613.0,854,433,932173.0,725217.0,371953.0,300103.0,135.2,2,Nano1
572487.0,655168.0,926437.0,1294890.0,2142.0,1960.0,191,193,382160.0,319314.0,226510.0,180823.0,137.0,2,Nano1
1085170.0,827574.0,311597.0,362682.0,3546.0,1699.0,1240,454,3255920.0,1663590.0,1993690.0,929861.0,138.2,2,Nano1
651575.0,836805.0,134589.0,200904.0,1849.0,1920.0,159,283,713412.0,569186.0,290633.0,259037.0,140.9,2,Nano1
541500.0,652188.0,170400.0,251919.0,1703.0,1794.0,1230,729,417671.0,347548.0,222738.0,178511.0,142.4,2,Nano1
1001720.0,1001080.0,189943.0,207125.0,3491.0,2361.0,698,420,2743850.0,1551720.0,1348580.0,768969.0,143.1,2,Nano1
1015340.0,889009.0,186942.0,181311.0,4400.0,2978.0,280,239,1102420.0,522522.0,432405.0,221099.0,143.3,2,Nano1
833099.0,788400.0,98325.0,117918.0,3062.0,2088.0,563,296,818817.0,419027.0,343129.0,195811.0,145.3,2,Nano1
521550.0,686027.0,122992.0,174782.0,1384.0,1017.0,479,291,505866.0,414879.0,179386.0,169750.0,146.0,2,Nano1
422681.0,547749.0,117679.0,181084.0,976.0,822.0,279,200,416198.0,325431.0,188167.0,132714.0,146.0,2,Nano1
635318.0,792427.0,115390.0,149060.0,2714.0,2219.0,433,400,1844390.0,1441870.0,1989030.0,1384680.0,148.2,2,Nano1
1002140.0,1158140.0,898625.0,1190990.0,2314.0,2373.0,648,317,1138700.0,896824.0,513113.0,413276.0,150.2,2,Nano1
876813.0,1015860.0,121207.0,158645.0,1881.0,1663.0,403,253,1199180.0,884392.0,395972.0,306765.0,153.5,2,Nano1
624390.0,734911.0,161299.0,230785.0,1825.0,1712.0,381,246,997134.0,754831.0,405621.0,349090.0,154.2,2,Nano1
991487.0,868194.0,1334640.0,1542380.0,2963.0,1616.0,374,307,427533.0,330752.0,148283.0,110255.0,156.1,2,Nano1
557430.0,700691.0,116406.0,167776.0,900.0,1091.0,117,115,722517.0,588822.0,274073.0,255930.0,156.5,2,Nano1
513396.0,678449.0,26838.0,38135.0,750.0,371.0,439,214,395940.0,328970.0,188479.0,169494.0,157.1,2,Nano1
465844.0,592074.0,68481.0,100103.0,1128.0,962.0,209,126,597438.0,461064.0,249137.0,196007.0,158.2,2,Nano1
2114610.0,1381420.0,188177.0,139239.0,4056.0,1756.0,1229,484,3463210.0,1350740.0,2347160.0,883679.0,164.2,2,Nano1
615610.0,710991.0,102939.0,146707.0,1801.0,1211.0,45,234,493204.0,322543.0,251171.0,165363.0,165.1,2,Nano1
390455.0,528650.0,47962.0,71131.0,1314.0,796.0,484,252,482776.0,391338.0,156622.0,137630.0,165.8,2,Nano1
540684.0,673600.0,337541.0,496531.0,2362.0,1709.0,779,354,386536.0,308600.0,187700.0,149549.0,166.7,2,Nano1
1349700.0,1270830.0,581336.0,569238.0,3575.0,1863.0,920,402,3043170.0,1908100.0,1984230.0,1223430.0,167.4,2,Nano1
607031.0,652418.0,590042.0,764953.0,3499.0,2828.0,892,575,2199770.0,1708430.0,1510220.0,1251260.0,168.4,2,Nano1
543701.0,684773.0,146186.0,194846.0,1297.0,1144.0,153,213,439062.0,368255.0,218905.0,190595.0,170.1,2,Nano1
689883.0,703934.0,1002290.0,1226910.0,1917.0,1568.0,478,386,718623.0,572305.0,478054.0,389206.0,177.8,2,Nano1
424649.0,595581.0,45492.0,61757.0,1942.0,1601.0,216,83,386326.0,308789.0,157569.0,137573.0,178.2,2,Nano1
1567610.0,1498930.0,2575040.0,2871230.0,12212.0,7835.0,2375,1779,398308.0,320097.0,222855.0,162926.0,184.5,2,Nano1
307551.0,389841.0,36008.0,47588.0,761.0,477.0,578,239,479093.0,328921.0,152816.0,108164.0,186.4,2,Nano1
871505.0,787219.0,184038.0,221451.0,3861.0,2894.0,727,403,943180.0,707774.0,330362.0,283500.0,191.1,2,Nano1
591779.0,656123.0,44898.0,61040.0,1821.0,1494.0,317,302,1192200.0,890617.0,552574.0,436856.0,191.4,2,Nano1
677913.0,867715.0,27588.0,39441.0,835.0,774.0,417,160,774768.0,577962.0,386005.0,298047.0,191.9,2,Nano1
691025.0,778163.0,72555.0,99699.0,2223.0,1710.0,559,287,1271480.0,1000210.0,1102310.0,851581.0,195.2,2,Nano1
