FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,tSNE-1,tSNE-2
4606.0,15611.0,233.0,818.0,439.0,781,548,1090,2149.0,4552.0,4395.0,5618.0,28.3,0,97.21436,-38.37646
6713.0,16409.0,667.0,1610.0,3376.0,3838,4753,5337,17978.0,20249.0,2482.0,3895.0,28.3,0,91.35397,-46.134727
6077.0,21506.0,3060.0,6895.0,2392.0,2776,3434,4088,10526.0,11864.0,980.0,1980.0,28.4,0,94.06983,-41.31763
1292.0,8235.0,415.0,3772.0,358.0,784,379,1229,1443.0,4245.0,197.0,163.0,28.4,0,95.63044,-41.96161
2373.0,13239.0,432.0,1518.0,1067.0,1635,1362,2404,3701.0,6913.0,735.0,1115.0,28.4,0,99.629585,-27.125526
2944.0,10623.0,1443.0,3230.0,816.0,1648,889,2298,2546.0,6767.0,1892.0,2438.0,28.7,0,98.78974,-33.191357
1690.0,7167.0,405.0,2510.0,1652.0,2989,2209,4205,5627.0,10546.0,0.0,22.0,28.7,0,90.85641,-45.436123
64631.0,32904.0,72072.0,19201.0,65.0,486,0,179,147687.0,31366.0,172425.0,54864.0,28.8,0,88.72704,-23.153011
2542.0,14662.0,13476.0,44584.0,148.0,34,144,62,79155.0,131472.0,30026.0,49775.0,28.8,0,107.55837,-18.169516
3224.0,11273.0,23547.0,44552.0,167.0,123,212,120,105691.0,116278.0,57324.0,57992.0,28.8,0,92.13019,-37.868008
871.0,5397.0,8730.0,33207.0,173.0,113,171,60,30381.0,62715.0,27059.0,49671.0,28.8,0,85.766556,-20.69407
9355050.0,2553340.0,12478500.0,5225510.0,75606.0,18374,26179,9290,2321200.0,3995590.0,5334110.0,981149.0,28.8,0,97.89736,-32.767662
4672.0,18819.0,1764.0,3884.0,1076.0,1268,2648,3158,7538.0,9359.0,770.0,1212.0,28.9,0,86.04922,-2.6937766
3792.0,14577.0,629.0,2476.0,1410.0,2404,1638,3289,3935.0,7695.0,927.0,1445.0,28.9,0,83.91231,-56.70228
1391.0,9274.0,281.0,2123.0,1015.0,3128,1286,3771,5243.0,15779.0,559.0,3444.0,29.1,0,86.7694,-4.1105165
4682.0,8238.0,1411.0,3125.0,1773.0,3932,2149,4701,7401.0,16855.0,0.0,274.0,29.1,0,95.77167,-38.36036
