FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,UMAP-1,UMAP-2
4250.0,8780.0,2358.0,4252.0,3149,2915,3838,4235,9357.0,10680.0,808.0,2590.0,24.0,4,15.88736,8.898918
3444.0,10695.0,3333.0,8434.0,3671,4964,5146,6884,13785.0,17927.0,372.0,2645.0,24.5,4,13.661485,2.44892
284336.0,387952.0,20572.0,31657.0,968,680,314,135,437290.0,370441.0,190844.0,169691.0,24.6,1,1.3361883,-2.3888729
2429.0,15233.0,475.0,2717.0,130,49,100,0,2745.0,4596.0,18165.0,37027.0,24.7,-1,-3.5934558,15.840636
2871.0,14741.0,2070.0,5913.0,113,121,124,57,32347.0,47541.0,71165.0,105358.0,24.7,0,-4.844485,15.5522
2322.0,12217.0,2300.0,8207.0,154,168,153,61,30637.0,45531.0,63963.0,104794.0,24.7,0,-4.8562064,15.564909
5016550.0,1761580.0,2774760.0,1176440.0,18204,4714,7695,4676,11003300.0,2243800.0,8372080.0,1525050.0,24.7,1,3.8445077,-4.512031
35983.0,54205.0,5529.0,9179.0,8,90,381,124,64492.0,61967.0,49954.0,49806.0,24.9,1,-3.9621878,4.554774
19073.0,34207.0,6279.0,10694.0,305,156,0,0,25818.0,26649.0,8858.0,16929.0,25.1,-1,-5.69157,7.5523005
1412.0,5031.0,623.0,3866.0,222,97,121,21,1631.0,5586.0,13464.0,31666.0,25.1,0,-3.396333,15.770552
58945.0,88797.0,22667.0,38518.0,396,345,310,221,60344.0,56987.0,30628.0,45634.0,25.1,1,-3.1008387,3.2703013
2146.0,9085.0,1895.0,5394.0,1737,3200,2484,4520,6715.0,11327.0,740.0,1647.0,25.2,4,13.218271,9.521274
31572.0,45096.0,15385.0,26682.0,0,120,158,125,30112.0,30965.0,16833.0,22973.0,25.3,1,-5.7507005,6.4166675
8109.0,11917.0,1182.0,3096.0,3071,2920,4780,4868,10371.0,10087.0,1438.0,3252.0,25.3,4,16.46821,7.102271
990.0,4134.0,815.0,2399.0,994,1860,1248,3112,4257.0,10794.0,332.0,702.0,25.5,4,10.162531,13.805079
7893.0,12197.0,2782.0,5215.0,3114,3476,4315,4299,11797.0,11669.0,0.0,2568.0,25.5,4,15.557201,7.818568
4728.0,13351.0,506.0,1688.0,421,1220,763,1909,1472.0,4417.0,1334.0,1608.0,25.5,4,8.232872,15.576376
8854.0,18918.0,1824.0,4007.0,2938,3247,4382,4803,12618.0,13346.0,521.0,1698.0,25.6,4,16.198784,7.1777177
11340.0,26383.0,3706.0,7190.0,6304,7051,7823,8670,20547.0,23134.0,3805.0,5086.0,25.8,4,11.542485,-0.91006666
2066.0,12990.0,1167.0,4168.0,1532,4069,2256,6086,5888.0,17100.0,249.0,2580.0,25.8,4,13.314237,7.7004433
758.0,3128.0,341.0,2939.0,2470,4444,3352,6565,9345.0,18760.0,0.0,0.0,25.8,4,13.68774,6.2627397
39842.0,60244.0,8330.0,13075.0,146,108,282,188,44686.0,44057.0,25297.0,38051.0,25.8,1,-4.5734944,4.762693
4406.0,13604.0,696.0,1944.0,886,1876,1406,2954,3740.0,6797.0,1062.0,959.0,25.9,4,10.117274,13.901269
15625.0,28290.0,3326.0,6029.0,8107,8807,11889,12838,32704.0,34456.0,6626.0,8879.0,25.9,4,9.478088,-1.9926164
26591.0,39277.0,6406.0,10544.0,284,242,194,100,37914.0,37308.0,15596.0,29400.0,25.9,1,-5.255372,6.566761
5728.0,14423.0,1079.0,3177.0,2694,3027,3949,4465,11235.0,12312.0,1166.0,1883.0,25.9,4,16.232311,8.845424
5114.0,14537.0,623.0,1965.0,2491,3234,2893,3724,8246.0,10451.0,588.0,1652.0,26.0,4,14.202799,9.917422
